model,model_id
MDX 3.5L w/Advance & Entertainment Pkgs,998
Yukon XL SLT,1874
AMG G 63 Base,219
GLS 450 Base 4MATIC,777
A6 3.0T Premium Plus,185
Crosstrek 2.0i Limited,522
S6 4.0T Premium Plus,1475
ILX Premium Package,880
Explorer Sport Trac XLT,649
Tahoe RST,1675
Suburban LT,1628
A7 55 Premium Plus,196
Suburban LT,1628
Corvette Stingray w/2LT,511
Rover Range Rover Sport HSE Dynamic,1428
Wrangler Rubicon,1766
Q5 2.0T Premium Plus,1232
RX 330 Base,1320
911 Carrera S,154
Model S 100D,1089
AMG GLE 43 Coupe 4MATIC,226
Sienna XLE Limited,1536
228 Gran Coupe i xDrive,22
Accord EX-L,254
Focus ST Base,720
GV70 2.5T,790
Q3 2.0T Premium Plus,1224
1500 SLT,15
F-150 XLT,671
GLE 350 Base 4MATIC,772
370Z Base,61
MKC Reserve,1008
Rover Range Rover Sport HSE,1427
M8 Gran Coupe Competition,993
Mustang GT Premium,1123
M4 Competition xDrive,980
RX 350 F Sport Performance,1325
Express 2500 Work Van,656
R1S Adventure Package,1278
NX 300 Base,1139
F-150 Lariat,661
300 Touring,34
Highlander XLE,869
Wrangler Unlimited Sahara,1778
AMG G 63 Base,219
M3 Base,971
GTI Base,788
911 Carrera 4S,148
Rover Range Rover Sport HSE,1427
650 i,116
F-150 Raptor,667
Equinox LT,599
M4 Base,977
2500 Tradesman,31
Cayenne AWD,423
435 i,74
Corvette Stingray Z51,509
Pilot EX-L,1211
Macan S,1031
M3 Base,971
Cayenne Base,424
Camaro 2SS,402
Camaro Z28,405
Rover Defender SE,1378
Roma Base,1366
RAV4 Base,1288
QX80 Luxe,1268
Wrangler Unlimited Sahara,1778
Rover Range Rover Sport Supercharged HSE,1436
Telluride LX,1684
MKX Reserve,1015
Escalade ESV Base,603
Express 3500 LT,658
Model S Performance,1098
E-Class E 350 4MATIC,551
M3 Base,971
4Runner Limited,82
LS 460 Base,926
GL-Class GL 550 4MATIC,763
S-Class S 550 4MATIC,1452
DeVille Base,539
Camaro ZL1,406
M6 Base,987
Transit-350 XL,1718
Rover Discovery SE,1386
Sierra 1500 SLE,1543
S4 Base,1467
Corvette Base,506
F-150 Lariat SuperCrew,662
720S Performance,125
Sorento SX Prestige,1603
Touareg V6 Executive,1702
RX 350 F Sport,1324
Model X 75D,1101
FJ Cruiser Base,706
RX 350 F Sport Performance,1325
R1S Launch Edition,1279
Highlander SE,868
Mustang V6,1131
F-150 Lariat,661
Camaro 2SS,402
QX80 Base,1267
Rover Range Rover 3.0L Supercharged HSE,1398
A5 2.0T Premium Plus,178
Corolla LE,500
F-150 XLT,671
Acadia Denali,244
A8 L 55,203
M5 Base,983
G70 3.3T,752
Continental GTC Base,490
R1S Launch Edition,1279
Camry Solara SLE V6,414
Escalade ESV Premium Luxury Platinum,608
RC 350 Base,1293
1500 Big Horn,5
SL-Class SL 550,1492
E-Class E 350 4MATIC,551
F-150 SVT Raptor,668
E-Class E 350,550
Rover Range Rover Sport HSE Dynamic,1428
Corvette Stingray w/1LT,510
Envision Essence,595
4Runner Trail,90
Suburban LTZ,1629
S40 T5,1468
Fusion SE,739
G37 x,749
Model X Long Range,1103
MKZ Reserve I,1019
Challenger R/T Scat Pack,443
Civic Sport,467
GLC 300 GLC 300,770
Mustang V6,1131
Gladiator Overland,818
718 Spyder Base,124
Corvette Stingray w/2LT,511
CLS-Class CLS 550,357
Mustang GT Premium,1123
Silverado 1500 Base,1557
Highlander Hybrid Limited Platinum,862
R8 5.2 V10 performance,1284
Explorer XLT,651
F-250 Limited,677
Golf R 4-Door,831
S2000 Base,1459
328 xi,46
Sienna LE,1535
911 Carrera 4S,148
A8 L 55,203
Rover Range Rover Sport HSE,1427
ProMaster 2500 High Roof,1218
Rover Range Rover Sport Supercharged HSE,1436
C-Class C 300 4MATIC,336
Firebird Trans Am,712
e-tron Prestige,1889
Pickup Truck XE,1208
Sorento EX,1594
A7 55 Premium Plus,196
M3 Base,971
A7 Premium Plus,198
GLE 450 GLE 450,774
911 Carrera S,154
Colorado ZR2,475
AMG G AMG G 63 4MATIC,220
F-150 XLT,671
F-250 XLT,682
Golf SportWagen TSI S 4-Door,834
GLC 300 Base 4MATIC,769
RX 350 F Sport Performance,1325
GV70 3.5T Sport,791
E-Class E 350,550
Acadia SLT-1,248
A7 3.0T Premium Plus,193
S5 3.0T Prestige,1472
Corvette Base,506
Liberty Renegade,960
AMG GLE 43 4MATIC Coupe,225
Corvette Base,506
F-150 XLT SuperCab,672
Rover Range Rover Velar P380 SE R-Dynamic,1442
R8 5.2 V10 plus,1285
911 Carrera,144
E-Class E 300,548
Silverado 1500 W/T,1571
1500 TRX,17
Model X 75D,1101
Explorer XLT,651
E-Class E 350,550
Leaf SV PLUS,952
QX80 Base,1267
Wrangler Sahara,1770
GLE 450 GLE 450,774
QX60 Base,1263
Continental GT W12,489
M4 Base,977
Corvette Base,506
F-PACE 25t Premium,693
Telluride EX X-Line,1683
M3 Base,971
Corvette Base,506
Challenger R/T Scat Pack,443
Cullinan,530
750 i xDrive,134
AMG C 63 S,211
350Z Touring,60
R1S Adventure Package,1278
Wrangler SE,1769
E-Class E 350 4MATIC,551
Land Cruiser Base,949
Xterra S,1864
TLX Type S w/Performance Tire,1646
Highlander Hybrid Limited Platinum,862
A6 55 Premium,189
1500 Rebel,14
M4 Competition xDrive,980
Fusion SE,739
Traverse Premier,1722
428 i xDrive SULEV,68
Transit-350 XLT,1719
Q3 45 S line Premium Plus,1226
Camaro ZL1,406
LaCrosse Base,938
650 i,116
AMG GT 63 S 4-Door,232
Armada LE,264
Sportage Nightfall,1606
Rover Range Rover Velar R-Dynamic SE,1444
A6 2.0T Premium Plus,182
GS 350 Base,782
F-250 Lariat,676
F-150 Lariat,661
Explorer ST,647
Land Cruiser Base,949
Mustang GT Premium,1123
E-Class E 350,550
Corvette Stingray w/3LT,512
G80 3.8,757
XK8 Base,1851
AMG GLE 43 Coupe 4MATIC,226
911 Carrera 4S,148
CR-V EX,360
Model Y Performance,1110
NV200 S,1136
Q60 3.0t Red Sport 400,1246
911 Carrera S,154
Tahoe Premier,1674
F-250 XLT Crew Cab Super Duty,683
H2 Base,853
Transit-250 Base,1716
GX 460 Base,793
SQ5 3.0T Premium Plus,1507
Malibu LT,1036
RS 3 2.5T,1305
Model Y Long Range,1109
Cayman Base,435
M4 CS,978
Civic EX,463
Metris Base,1078
ProMaster 2500 High Roof,1218
TLX Type S PMC Edition,1645
Wrangler Rubicon,1766
X7 xDrive40i,1816
Escalade ESV Platinum,605
ES 350 Base,570
GX 460 Base,793
Escalade ESV Sport,609
H2 Base,853
Challenger R/T Scat Pack,443
Mustang GT Premium,1123
Q5 2.0T Premium Plus,1232
RX 350 F Sport Performance,1325
Corvette Stingray w/2LT,511
Focus RS Base,717
Camry XLE,415
AMG C 63 Base,210
Tucson Limited,1726
1500 Longhorn,13
M6 Base,987
E-Class E 350 4MATIC,551
GV70 2.5T,790
F-150 XLT,671
Panamera 4,1185
Yukon Denali,1867
1500 Limited,12
Rover Range Rover Velar SVAutobiography Dynamic Edition,1445
F-350 Platinum,690
Outback Limited,1172
Expedition Max King Ranch,638
1500 Laramie,11
Golf GTI 2.0T Autobahn,825
E-Class E 400,552
RDX PMC Edition,1299
Suburban Premier,1630
1500 Limited,12
AMG E 53 Base 4MATIC,216
G-Class G 550 4MATIC,742
G35 Base,744
E-Class E 350 4MATIC,551
Traverse Premier,1722
RX 350 Base,1321
Rover LR4 HSE LUX Landmark Edition,1395
Gladiator Rubicon,819
Equinox 2LT,598
F-150 Lariat,661
M3 Base,971
Malibu 1LT,1035
Tahoe RST,1675
C-Class C 300 4MATIC Sport,338
Q50 3.0t Red Sport 400,1240
AMG GT 53 Base,231
Martin DBS Superleggera,1043
Rover Defender X-Dynamic SE,1381
Wrangler Unlimited Freedom Edition,1775
F-250 Platinum,678
Metris Base,1078
Continental GT W12,489
Camaro 1SS,400
Lucerne CXL,962
CTS-V Base,380
Huracan Tecnica Coupe,875
Rover Range Rover 3.0L V6 Supercharged HSE,1399
Model Y Long Range,1109
SL-Class SL500 Roadster,1495
Golf Alltrack TSI SE,823
Ram 1500 ST,1342
Camaro 1SS,400
MKX Base,1013
Gladiator Overland,818
Model Y Long Range,1109
XT5 Luxury,1857
M440 i xDrive,982
Sequoia Limited,1528
MKS EcoBoost,1011
AMG E 53 Base 4MATIC,216
RX 350 F Sport,1324
Golf GTI 2.0T SE 4-Door,828
GX 460 Premium,795
RX 350 F Sport Performance,1325
Macan Base,1029
A5 2.0T Premium,177
E-Class E 350,550
QX60 Base,1263
M8 Competition,992
M5 Base,983
C-Class C 300 4MATIC Sport,338
S4 3.0T Premium Plus,1465
F-PACE S,696
Civic EX,463
740 i,127
Ram 1500 ST,1342
Mustang V6,1131
650 i,116
ATS 2.5L Luxury,242
SL-Class SL 63 AMG,1493
SLK-Class SLK320,1504
Navigator Reserve,1149
SLC 300 Base,1499
Macan S,1031
R1S Launch Edition,1279
Tacoma TRD Sport,1668
F-250 Lariat,676
Suburban LTZ,1629
Escalade ESV Luxury,604
Rover Range Rover P530 SE LWB 7 Seat,1419
Land Cruiser Base,949
Model S Long Range,1095
Camaro 1LT,399
Rover Range Rover P400 SE SWB,1415
A7 3.0T Premium Plus,193
XF 25t Prestige,1836
F-350 Lariat Crew Cab Super Duty DRW,688
RX 330 Base,1320
Mustang GT Premium,1123
Rover Range Rover Evoque SE Premium,1411
QX60 Base,1263
A-Class A 220 4MATIC,165
S4 3.0T Premium Plus,1465
G-Class G 550 4MATIC,742
Explorer XLT,651
2500 SLT,30
AMG C 43 AMG C 43 4MATIC,207
XC90 T6 Momentum,1831
Ascent Touring 7-Passenger,274
M6 Base,987
Continental GTC Base,490
428 i,66
A4 2.0T Premium Plus quattro,172
1500 Laramie,11
M4 Base,977
Navigator L Select,1147
911 Turbo Cabriolet,163
Rover Range Rover 3.0L V6 Supercharged HSE,1399
IS 350 Base,887
Suburban 1500 LT,1623
X7 xDrive40i,1816
Transit Connect XLT,1715
Ram 2500 SLT Quad Cab,1346
Tacoma PreRunner,1664
CTS Luxury,377
Cooper S Base,496
S2000 Base,1459
M3 Base,971
Firebird Trans Am,712
Suburban 1500 LTZ,1624
SL-Class SL500 Roadster,1495
Cayenne Base,424
RAV4 Base,1288
Rover Range Rover Sport Supercharged HSE,1436
E-Class E 550,555
Tacoma TRD Sport,1668
C-Class C 300 4MATIC,336
Tahoe LS,1671
Bronco Big Bend Advanced,322
Model Y Performance,1110
MKX Reserve,1015
Avalon XLE,286
GLE 350 Base 4MATIC,772
F-150 Raptor,667
M3 Base,971
AMG C AMG C 63,212
435 i,74
Mustang V6 Premium,1132
Camaro 2SS,402
Titan XD SV,1700
SLK-Class SLK 350,1501
F-150 Lariat,661
Charger SRT Hellcat Widebody,458
Veloster Turbo R-Spec,1748
E-Class E 300 4MATIC,549
911 Turbo Cabriolet,163
Bentayga Azure First Edition,302
911 Turbo S,164
135 i,3
Sierra 2500 AT4,1547
Impreza 2.0i Sport,895
Expedition Limited,637
530 i xDrive,101
F-150 XLT,671
G-Class G 550 4MATIC,742
Bentayga V8,306
Rover Range Rover Velar P250 SE R-Dynamic,1440
Firebird Base,711
Q5 S line Premium Plus,1238
Camry Solara SLE,413
Town & Country Touring-L,1706
Eclipse Spyder GT,576
e-tron Prestige,1889
Rover Range Rover HSE,1412
Escalade Sport Platinum,618
Firebird Trans Am,712
Impreza 2.0i,893
C-Class C 300 4MATIC,336
C-Class 4MATIC Sedan,332
F-150 Platinum,666
Forte Koup EX,728
Sequoia SR5,1530
Expedition Limited,637
Ghibli S Q4,813
Tahoe Premier,1674
Tahoe LT,1672
CLK-Class CLK 350,354
F-150 XLT,671
Escalade ESV Sport,609
Rover Range Rover Velar P250 SE R-Dynamic,1440
GX 460 Base,793
Corvette Stingray w/1LT,510
XJ6 Vanden Plas,1846
Sierra 1500 SL Crew Cab,1542
F-250 Lariat,676
E-Class E 350,550
XF XFR-S,1843
330 i xDrive,49
GX 460 Premium,795
A8 L 55,203
Touareg VR6 Lux,1703
C-Class C 250 Sport,334
Camaro 2SS,402
Challenger SRT Hellcat,447
Rover Range Rover 3.0L Supercharged HSE,1398
Civic EX,463
911 Carrera,144
650 Gran Coupe i xDrive,115
AMG C 43 Base 4MATIC,209
Macan S,1031
Sierra 1500 Denali,1539
Suburban High Country,1627
LaCrosse CX,939
Sequoia SR5,1530
135 i,3
Corvette Stingray w/2LT,511
A4 2.0T Premium,170
F-150 Lariat,661
Transit-350 XLT,1719
Rover Range Rover P530 SE SWB,1420
GX 460 Premium,795
740 i,127
300 S,33
Wrangler Unlimited Sahara,1778
ES 350 Base,570
C-Class C 300 4MATIC Sport,338
RS 7 4.0T quattro,1313
Sprinter 2500 Standard Roof,1613
CLS 450 Base,355
TSX Base,1651
Suburban LT,1628
Cooper S Base,496
GT-R Black Edition,785
Q5 2.0T Premium Plus,1232
Mustang GT Premium,1123
QX80 Base,1267
A5 2.0T Premium Plus,178
Mustang GT Premium,1123
1500 Big Horn,5
Camry SE,411
Sequoia Limited,1528
Escalade ESV Sport,609
Expedition Timberline,642
i8 Base,1894
G-Class G 550 4MATIC,742
AMG C 43 Base 4MATIC,209
A6 55 Prestige,191
Escalade ESV Sport,609
718 Boxster GTS,119
Rover Range Rover Sport HSE,1427
Tahoe Premier,1674
Rover Range Rover Velar SVAutobiography Dynamic Edition,1445
4Runner SR5,84
Civic EX,463
Rover Range Rover Westminster SWB,1446
RX 350 Base,1321
911 GT3,158
GL-Class GL 450 4MATIC,761
F-250 King Ranch,674
Silverado 1500 LT Crew Cab,1563
GTC4Lusso T,787
R8 5.2 quattro Spyder,1286
CTS 2.0L Turbo Luxury,372
Sorento EX,1594
M3 Base,971
RX 350 F Sport Performance,1325
Cayenne S,431
Q7 55 Prestige,1251
Camaro 2SS,402
328 i,44
Sky Red Line,1584
Model 3 Long Range,1084
ILX 2.4L,878
X6 M Base,1808
4Runner Limited,82
Taycan Base,1680
G37 Sport,748
Escalade ESV Platinum,605
M4 Base,977
Gladiator Overland,818
Matrix XR,1048
2500 Laramie,27
Huracan EVO Coupe,871
C-Class C 300 4MATIC Sport,338
Civic Sport,467
IS 250 Base,884
Monte Carlo SS,1111
ALPINA B7 ALPINA B7 xDrive,204
SQ5 3.0T Prestige,1508
540 i xDrive,106
F-250 Lariat,676
IS 300 Base,886
Mazda3 s Grand Touring,1066
740 i,127
Land Cruiser Base,949
SL-Class SL550 Roadster,1496
Camry Solara SLE V6,414
Mazda6 Grand Touring Reserve,1070
F-150 XLT,671
M5 Base,983
330 i xDrive,49
Ranger Sport SuperCab,1352
Macan S,1031
AMG GT 63 S 4-Door,232
Mustang GT Premium,1123
Corvette Stingray,508
Focus SE,718
Macan S,1031
Corvette Base,506
325 Ci,41
Camaro 2SS,402
Rover Range Rover Sport Supercharged Dynamic,1435
Navigator Base,1144
Golf GTI 2.0T SE 4-Door,828
Cayenne S,431
Rover Range Rover Sport HSE Dynamic,1428
Ram 1500 SRT-10 Quad Cab,1341
Camaro 2SS,402
911 GT3,158
Macan Base,1029
528 i xDrive,99
Model Y Long Range,1109
RC F Base,1295
GT-R Premium,786
Phantom Drophead Coupe Drophead,1207
QX60 AUTOGRAPH,1262
Cayenne Base,424
Macan S,1031
ALPINA B7 ALPINA B7 xDrive,204
S-Class S 550 4MATIC,1452
Rover Range Rover Evoque SE Premium,1411
Avalon XLS,287
E-Class E 550,555
Palisade SEL,1183
MDX Technology,1003
Romeo Giulia Ti,1369
911 GT3 RS,159
650 i,116
Telluride SX,1686
AMG GT 53 Base,231
Cooper S Base,496
MDX 3.7L Advance,1000
570S Base,109
Liberty Renegade,960
Escape XLT,623
M3 Base,971
Thunderbird Deluxe,1691
Tacoma TRD Pro,1667
M5 Base,983
F-150 XLT SuperCab,672
911 Turbo S,164
Tahoe LTZ,1673
Escalade ESV Luxury,604
Wrangler Unlimited Sport,1779
Transit-350 XLT,1719
Suburban Z71,1632
Impreza 2.0i,893
RX 350 Base,1321
GL-Class GL 450 4MATIC,761
S-Class S 560 4MATIC,1454
QX60 Base,1263
F-150 XLT,671
Escalade ESV Platinum Edition,606
A4 2.0T Premium Plus,171
Suburban LTZ,1629
Rover Range Rover P400 SE SWB,1415
M3 Base,971
BRZ Limited,295
Mustang GT,1122
R1S Adventure Package,1278
S-Class S 560 4MATIC,1454
Suburban 1500 LTZ,1624
911 Carrera 4S,148
Model Y Long Range,1109
Avalon Limited,284
Corvette Stingray w/3LT,512
Colorado ZR2,475
CLK-Class 550,353
XJ Base,1844
Suburban Premier,1630
M4 Competition,979
Escalade ESV Premium Luxury Platinum,608
Martin DBS Superleggera,1043
LS 430 Base,925
GT-R Premium,786
Suburban Premier,1630
Dakota SLT Quad Cab,536
Rover Discovery HSE,1382
Firebird Base,711
Legacy 2.5 i Premium,954
A5 2.0T Premium Plus,178
IS-F Base,889
Q5 S line Premium Plus,1238
F-150 Lariat,661
Sierra 1500 SL Crew Cab,1542
Navigator Reserve,1149
Eclipse Spyder GT,576
Mustang GT,1122
Model Y Performance,1110
Silverado 1500 1LZ,1555
Panamera 2,1184
Navigator Base,1144
335 i xDrive,52
Ghibli S Q4,813
Cooper S Base,496
Cayenne Base,424
Cayman Base,435
Camaro 2SS,402
Metris Base,1078
Silverado 1500 Limited LT Trail Boss,1569
1500 Rebel,14
IS 350 Base,887
SC 430 Base,1491
Rover Range Rover Sport Supercharged,1434
H3 Base,855
E-Class E 350 4MATIC,551
Avalanche 1500 LTZ,281
Outback Limited,1172
RX 350 Base,1321
Q5 S line Premium Plus,1238
Explorer XLT,651
Transit Connect XLT,1715
Yukon XL Denali,1873
X6 M Base,1808
911 Carrera 4S,148
Gladiator Overland,818
Challenger R/T,442
S6 4.0T Prestige,1476
Transit-250 Base,1716
X7 xDrive40i,1816
Rover Range Rover 3.0L Supercharged HSE,1398
A7 3.0T Premium Plus,193
SL-Class SL500 Roadster,1495
IS 350 Base,887
Boxster Base,312
M3 CS,972
CC 2.0T Sport,349
Rover Range Rover Evoque SE Premium,1411
Panamera S,1193
Escalade ESV Platinum,605
Camaro 1LT,399
QX60 Base,1263
AMG G 63 Base,219
911 Carrera Cabriolet,152
M6 Gran Coupe Base,988
Macan S,1031
Q5 2.0T Premium Plus,1232
Enclave Leather,591
Escalade Luxury,611
Rover Range Rover Sport Supercharged HSE,1436
Suburban LT,1628
Camaro 2SS,402
Eclipse GT,574
Romeo Stelvio Ti,1372
R1S Adventure Package,1278
911 Carrera S,154
RS 7 4.0T,1310
Mustang GT,1122
TLX Type S w/Performance Tire,1646
Rover Range Rover Sport HSE,1427
Mustang Shelby GT500,1130
S-Class S 560 4MATIC,1454
435 i,74
335 i xDrive,52
TLX V6 Advance,1647
C-Class C 300 4MATIC Sport,338
F-150 Lariat,661
E-Class E 550 4MATIC,556
Camaro Z28,405
QX60 Base,1263
M3 CS,972
Camaro 1SS,400
Transit Connect XLT,1715
Mustang Base,1117
Rover Range Rover Sport HST MHEV,1429
Passport Elite,1198
Q5 S line Premium Plus,1238
Wrangler Sport,1772
A4 2.0T Premium,170
Express 3500 Base,657
M37 x,976
1500 Laramie,11
Corvette Base,506
AMG E 63 S 4MATIC,217
A3 2.0T Tech Premium,169
325 Ci,41
M4 Competition,979
Corvette Stingray w/3LT,512
Pacifica Launch Edition,1179
A6 2.0T Premium Plus,182
911 Turbo,162
1500 Big Horn,5
AMG C 43 Base 4MATIC,209
GLC 300 GLC 300,770
Silverado 2500 WT,1580
Pickup Truck XE,1208
Transit-350 Base,1717
QX60 Base,1263
M4 Base,977
Rover Range Rover 3.0L V6 Supercharged HSE,1399
Impreza WRX,898
Mustang GT Premium,1123
Rover Range Rover 3.0L Supercharged HSE,1398
Charger SRT Hellcat Widebody,458
Corvette Stingray w/2LT,511
Altima 2.5 S,261
Fusion SE,739
Quattroporte Base,1270
SL-Class SL500 Roadster,1495
Mustang GT,1122
F-350 Platinum,690
Camaro 2SS,402
F-150 Lariat,661
Camaro 1SS,400
MazdaSpeed3 Grand Touring,1077
Ghibli S Q4 GranSport,814
F-150 XLT,671
Rover Range Rover Sport HSE,1427
G-Class G 550 4MATIC,742
S-Class S 560 4MATIC,1454
ES 350 Base,570
M4 Base,977
Camaro 1SS,400
S-Class S 63 AMG,1456
Genesis Coupe 2.0T,805
MKZ Select,1020
335 i,51
Q5 2.0T Premium Plus,1232
Camaro Base,403
Yukon SLT,1870
AMG E 53 Base 4MATIC,216
Expedition XLT,643
F-250 XLT,682
2500 Big Horn,26
1500 Big Horn,5
Thunderbird Premium,1692
Silverado 3500 LTZ,1582
Matrix XR,1048
C-Class C 300 4MATIC Luxury,337
Panamera 4S,1188
M4 Base,977
Suburban LT,1628
Model X Long Range Plus,1104
Corvette Stingray w/3LT,512
Transit Connect XLT,1715
Sierra 1500 SLT,1546
Tundra SR5,1737
Metris Base,1078
Fusion Hybrid SE,736
Tahoe LT,1672
AMG GLS 63 4MATIC,230
Model 3 Long Range,1084
X6 M Base,1808
MDX Technology,1003
F-150 Lariat,661
Highlander Limited,865
Avalon Limited,284
F-250 Lariat,676
A6 55 Prestige,191
Town Car Signature,1708
Gladiator Overland,818
AMG G 63 Base,219
Escalade Premium Luxury,615
Tahoe LTZ,1673
2500 Big Horn,26
CLK-Class 500 Cabriolet,352
428 Gran Coupe i xDrive,65
435 i,74
CX-9 Signature,393
F-150 Lariat,661
Mustang Base,1117
RX 350 F SPORT Appearance,1323
Rover Range Rover Sport HSE Dynamic,1428
Macan S,1031
RS Q8 4.0T quattro,1315
Q7 45 Premium Plus,1250
M3 Base,971
F-150 XLT,671
Wrangler Unlimited Sahara,1778
3500 Tradesman,57
Corvette Base,506
Rover Range Rover Velar P380 S,1441
F-250 XLT,682
Boxster S,316
Sportage LX,1605
Silverado 1500 Custom Trail Boss,1558
Camaro ZL1,406
911 Carrera,144
F-250 Lariat,676
Taurus SHO,1676
CX-5 Grand Touring,386
Tundra SR5,1737
Magnum R/T,1034
F-250 XLT,682
Cayenne S,431
328 i,44
F-150 XLT,671
ES 350 Base,570
Camaro 1SS,400
1500 Rebel,14
Corvette Stingray w/2LT,511
Bentayga Speed,305
500e Battery Electric,96
Land Cruiser Base,949
H2 Base,853
Explorer Limited,645
Genesis 3.8,802
CLA-Class CLA 250,351
MX-5 Miata Grand Touring,1023
Sorento LX,1597
MDX 3.5L w/Technology Package,999
E-Class E 400,552
Tahoe LT,1672
Genesis 3.8,802
335 i xDrive,52
Yukon XL SLT,1874
Suburban LTZ,1629
Explorer XLT,651
Martin DBX Base,1044
C-Class C 300 4MATIC Sport,338
F-150 XLT SuperCab,672
370Z Touring,64
1500 Laramie,11
Navigator Base,1144
Focus SE,718
Q5 S line Premium Plus,1238
Q5 2.0T Premium Plus,1232
ATS 2.5L Luxury,242
Firebird Base,711
Highlander XLE,869
S6 4.0T Prestige,1476
Suburban LT,1628
Firebird Trans Am,712
F-150 Raptor,667
Trailblazer LS,1709
MC20 MC20,996
Firebird Trans Am,712
AMG GT 63 S 4-Door,232
F-150 Lariat,661
Camaro 2SS,402
Tacoma Base,1662
BRZ Limited,295
Frontier SE Crew Cab,731
Explorer Timberline,650
Excursion Limited,628
Sprinter 3500 High Roof,1614
Cayenne Turbo,432
Town Car Signature,1708
M4 Base,977
Optima EX,1160
AMG GLC 43 AMG GLC 43,223
IS 350 Base,887
TT 2.0T,1655
GLE 350 Base 4MATIC,772
M5 Base,983
C-Class C 300 4MATIC Sport,338
Dakota SLT Quad Cab,536
Explorer XLT,651
Wrangler Sahara,1770
Accord EX-L,254
GV70 3.5T Sport,791
Corvette Stingray w/3LT,512
F-150 XL,670
AMG C 63 Base,210
LX 570 Three-Row,934
550 i xDrive,108
Roma Base,1366
GV70 3.5T Sport,791
Macan S,1031
NSX Base,1133
911 GT3,158
GLS 450 Base 4MATIC,777
Grand Cherokee L Laredo,842
Cayman GTS,437
Firebird Base,711
MDX Touring,1004
RX 350 F SPORT Appearance,1323
Escalade ESV Platinum,605
435 i,74
A7 3.0T Premium Plus,193
Cayenne Platinum Edition,430
435 i,74
S4 3.0T Premium Plus,1465
Sorento SX Prestige,1603
Sorento S,1601
Rover Range Rover Sport Supercharged HSE,1436
Cayenne Base,424
Camry Hybrid Base,407
Model X Base,1102
Enclave Leather,591
H3 Base,855
Rover Range Rover HSE,1412
1500 Laramie,11
Rover Range Rover Velar P250 S R-Dynamic,1439
F-150 Lariat,661
Model X 75D,1101
750 i xDrive,134
E-Class E 350,550
1500 Laramie,11
RX 350 F Sport,1324
Highlander XLE,869
Rover Range Rover Sport 3.0L Supercharged HSE,1424
Corvette Stingray w/2LT,511
1500 Rebel,14
Ram 2500 ST,1347
AMG G 63 Base,219
Air Pure,260
Camaro 2SS,402
QX56 Base,1261
RX 350 F Sport,1324
M4 Base,977
F-150 Lariat,661
M37 x,976
Corvette Base,506
Model Y Performance,1110
Rover Range Rover Sport HST MHEV,1429
LX 570 Three-Row,934
Wrangler Sport,1772
C-Class C 300 4MATIC Sport,338
GL-Class GL 550 4MATIC,763
SL-Class SL 550,1492
C-Class C 300 4MATIC,336
Bronco Badlands Advanced,319
F-250 XLT Crew Cab Super Duty,683
Ascent Touring 7-Passenger,274
Forte LXS,730
Optima Hybrid EX,1161
AMG C 43 Base 4MATIC,209
GLE 350 Base 4MATIC,772
Golf GTI 2.0T SE 4-Door,828
Camry Solara SLE,413
F-150 XLT,671
S4 3.0T Premium Plus,1465
Tundra SR5,1737
Sequoia Limited,1528
S-Class S 580 4MATIC,1455
535 i xDrive,104
S-Class S 63 AMG,1456
Outback 2.5i Limited,1167
F-250 XLT,682
Metris Base,1078
S-Class S500,1458
AMG C 43 Base 4MATIC,209
Mustang EcoBoost Premium,1121
Mustang GT Premium,1123
Escape XLT,623
RX 350 RX 350 F SPORT Handling,1327
F-250 Lariat,676
M4 Base,977
A5 2.0T Premium Plus,178
Quattroporte Base,1270
C-Class C 300 4MATIC Sport,338
Escalade Luxury,611
Ghibli S Q4,813
Mazda3 i Touring,1065
Macan,1028
RSX Type S,1317
Grand Cherokee L Limited,843
350Z Touring,60
Tundra SR5,1737
Rover Range Rover HSE SWB,1413
CX-30 Select,385
MX-5 Miata Base,1021
Cayenne S,431
Excursion Limited,628
Q5 2.0T Premium Plus,1232
1500 Big Horn,5
Panamera S,1193
350Z Touring,60
F-150 Lariat,661
135 i,3
GT-R Premium,786
M4 Competition xDrive,980
M3 Base,971
H2 Base,853
Town Car Signature,1708
Metris Base,1078
Escalade EXT Base,610
Focus SEL,719
Cayman GT4,436
S-10 LS Crew Cab,1448
435 i,74
ES 350 Base,570
Cayenne E-Hybrid S Platinum Edition,427
Mustang GT Premium,1123
R1S Adventure Package,1278
F-TYPE V6 S,702
911 Carrera,144
Q5 3.0 TDI Premium Plus,1233
Q5 S line Premium Plus,1238
Model S P100D,1097
A8 L 55,203
F-150 XLT,671
Sierra 2500 Denali,1549
Bentayga W12 Signature,307
Expedition EL Limited,634
AMG GLE 43 Coupe 4MATIC,226
Camaro 1SS,400
Suburban 1500 LT,1623
M3 CS,972
AMG G AMG G 63 4MATIC,220
Mustang GT Premium,1123
Rover Range Rover SV Autobiography Dynamic SWB,1421
Model X Long Range Plus,1104
Tundra Hybrid TRD Pro,1733
AMG C 43 Base 4MATIC,209
Model Y Long Range,1109
Escalade Sport Platinum,618
1500 Rebel,14
Q7 3.0T Premium Plus,1248
SQ5 3.0T Prestige,1508
Camry Solara SLE V6,414
RX 350 Base,1321
CLK-Class CLK 350,354
Model Y Long Range,1109
Camry Solara SLE V6,414
GL-Class GL 450 4MATIC,761
Metris Base,1078
Escape PHEV SE,620
GLE 350 GLE 350,773
